index;Format;Year;Units;Revenue;Revenue (Inflation Adjusted)
135;CD;2016;977000000;1131100000;1183400000
136;CD;2017;878000000;1058800000;1084600000
137;CD;2018;520000000;698600000;698600000
138;Record;1973;5080000000;1436000000;7927700000
139;Record;1974;4800000000;1550000000;7706600000
140;Record;1975;4210000000;1696500000;7729500000
141;Record;1976;4630000000;1908100000;8220000000
142;Record;1977;5340000000;2440200000;9870300000
143;Record;1978;5313000000;2733600000;10277000000
144;Record;1979;5020000000;2410600000;8139000000
145;Record;1980;4650000000;2450000000;7288200000
146;Record;1981;4499000000;2598100000;7006000000
147;Record;1982;3811000000;2208100000;5608800000
148;Record;1983;3344000000;1958300000;4819500000
149;Record;1984;3361000000;1847500000;4358600000
150;Record;1985;2877000000;1561500000;3557200000
151;Record;1986;2191000000;1211100000;2708600000
152;Record;1987;1890000000;996400000;2150000000
153;Record;1988;1380000000;712600000;1476500000
154;Record;1989;712000000;336700000;665600000
155;Record;1990;393000000;180900000;339200000
156;Record;1991;268000000;93300000;167900000
157;Record;1992;221000000;79900000;139600000
158;Record;1993;163000000;61800000;104900000
159;Record;1994;136000000;65000000;107500000
160;Record;1995;124000000;71800000;115500000
161;Record;1996;130000000;84300000;131700000
162;Record;1997;102000000;68900000;105300000
163;Record;1998;88000000;59700000;89700000
164;Record;1999;82000000;59700000;87800000
165;Record;2000;70000000;54000000;76800000
166;Record;2001;78000000;58800000;81400000
167;Record;2002;61430000;45400000;61800000
168;Record;2003;53000000;43200000;57500000
169;Record;2004;49000000;39200000;50800000
170;Record;2005;33000000;27400000;34400000
171;Record;2006;24000000;25600000;31100000
172;Record;2007;19000000;26900000;31800000
173;Record;2008;33000000;59600000;67900000
174;Record;2009;38000000;66300000;75800000
175;Record;2010;45000000;91200000;102500000
176;Record;2011;59000000;124000000;135100000
177;Record;2012;73000000;165400000;181000000
178;Record;2013;97000000;213700000;230400000
179;Record;2014;108000000;249300000;264500000
180;Record;2015;142000000;339200000;359300000
181;Record;2016;152000000;360300000;377000000
182;Record;2017;160000000;394600000;404200000
183;Record;2018;170000000;424500000;424500000
